"","linename","seed.num","face.length","face.width","face.area","face.perimeter"
"1","IS22294"," 2","1116.2603","1062.9833"," 891241.5","3013"
"2","IS22294"," 1","1157.8255","1005.9581"," 849077.0","2958"
"3","IS22294"," 3","1163.5506","1013.3294"," 889661.0","3006"
"4","IS22294"," 5","1109.1623","1013.4784"," 844517.0","2918"
"5","IS22294"," 4","1127.0905","1014.3569"," 837926.5","2889"
"6","IS22294"," 6","1233.5866","1137.5350","1044277.0","3246"
"7","IS22294"," 7","1171.3706","1030.2632"," 884645.0","2978"
"8","IS22294"," 8","1220.7547","1042.0431"," 930208.0","3084"
"9","IS22294"," 9","1085.5598"," 982.9288"," 780530.5","2777"
"10","IS22294","10","1206.8770","1070.5565"," 946025.5","3059"
"11","IS 11034"," 1","1093.6297","1003.6925"," 779933.0","2826"
"12","IS 11034"," 2"," 958.6198"," 940.2309"," 669353.0","2574"
"13","IS 11034"," 3"," 945.5178"," 938.3429"," 655980.0","2586"
"14","IS 11034"," 4","1086.7171"," 995.2342"," 787324.0","2834"
"15","IS 11034"," 5","1096.6367","1063.7288"," 854250.5","2899"
"16","IS 11034"," 6"," 965.6112"," 940.4323"," 656983.5","2595"
"17","IS 11034"," 7"," 837.4485"," 864.0746"," 550902.0","2354"
"18","IS 11034"," 8"," 917.9809","1013.9829"," 671706.5","2685"
"19","IS 11034"," 9"," 962.3856"," 947.1266"," 653212.0","2590"
"20","IS 11034","10"," 929.1394"," 915.6839"," 640234.5","2571"
"21","Loussour"," 1","1251.6889"," 898.8536"," 817654.0","2930"
"22","Loussour"," 2","1246.0678"," 791.9938"," 735025.5","2867"
"23","Loussour"," 3","1239.7810"," 818.4429"," 765304.5","2875"
"24","Loussour"," 4","1300.1884"," 888.4466"," 823160.5","2921"
"25","Loussour"," 5","1186.6326"," 795.7686"," 710479.5","2785"
"26","Loussour"," 6","1230.6137"," 920.6870"," 825785.5","2919"
"27","Loussour"," 7","1269.4849"," 953.7994"," 885535.5","3001"
