"","linename","seed.num","side.length","side.thickness","side.area","side.perimeter"
"1","IS 11034"," 1","1075.9526","727.7263"," 542834.0","2512"
"2","IS 11034"," 2"," 956.6948","742.5889"," 482373.0","2354"
"3","IS 11034"," 3"," 933.0472","725.7232"," 466731.5","2347"
"4","IS 11034"," 4","1044.7665","736.7197"," 530880.5","2543"
"5","IS 11034"," 5","1105.8689","876.8454"," 691086.0","2730"
"6","IS 11034"," 6"," 960.3255","715.9875"," 491782.5","2389"
"7","IS 11034"," 7"," 842.1318","589.1453"," 350499.0","2052"
"8","IS 11034"," 8"," 904.5275","640.1287"," 415070.0","2156"
"9","IS 11034"," 9"," 939.5132","761.9425"," 499979.5","2389"
"10","IS 11034","10"," 936.1036","676.8471"," 448224.0","2258"
"11","Loussour"," 1","1174.5267","568.8181"," 468648.0","2548"
"12","Loussour"," 2","1174.7157","500.2351"," 415314.0","2524"
"13","Loussour"," 3","1144.4147","562.5653"," 438291.0","2468"
"14","Loussour"," 4","1211.0574","538.1066"," 456906.5","2613"
"15","Loussour"," 5","1067.2980","484.8786"," 375194.0","2360"
"16","Loussour"," 6","1162.0710","588.9098"," 471218.5","2549"
"17","Loussour"," 7","1183.5785","594.8334"," 505161.0","2670"
"18","Loussour"," 8","1283.0483","552.3822"," 471591.0","2794"
"19","Loussour"," 9","1113.9771","532.6016"," 431078.5","2453"
"20","Loussour","10","1168.6993","538.2907"," 420356.5","2517"
"21","MN 4177"," 1","1034.1146","550.3800"," 428167.5","2321"
"22","MN 4177"," 2","1001.0979","577.7407"," 420415.5","2255"
"23","MN 4177"," 3"," 973.8265","560.1265"," 400668.5","2197"
"24","MN 4177"," 4"," 903.8722","430.7954"," 283266.0","1978"
"25","MN 4177"," 5"," 905.4861","450.0323"," 286777.0","1952"
"26","MN 4177"," 6"," 658.8998","396.5398"," 186670.5","1513"
"27","MN 4177"," 7"," 725.4661","400.4240"," 218024.5","1647"
"28","MN 4177"," 8"," 802.5983","389.5847"," 227810.0","1762"
"29","MN 4177"," 9"," 708.1024","414.4994"," 205201.0","1622"
"30","MN 4177","10"," 798.1836","376.4560"," 228378.0","1768"
"31","433"," 1"," 646.1370","333.6320"," 164750.5","1473"
"32","433"," 2"," 679.3622","328.1563"," 170339.5","1511"
"33","433"," 3"," 639.1823","294.1806"," 138939.0","1414"
"34","433"," 4"," 654.1506","331.0201"," 160587.5","1467"
"35","433"," 5"," 628.8346","321.4756"," 154417.0","1422"
"36","433"," 6"," 625.3871","296.5971"," 139235.0","1374"
"37","433"," 7"," 664.7383","273.7077"," 142021.5","1443"
"38","433"," 8"," 613.1313","309.2617"," 136984.5","1329"
"39","433"," 9"," 661.9796","344.6088"," 174973.5","1511"
"40","433","10"," 649.9261","313.6326"," 153386.0","1436"
"41","NYIRARUMOGO"," 1"," 946.0159","648.1879"," 453267.0","2238"
"42","NYIRARUMOGO"," 2","1001.2397","796.7383"," 567767.5","2445"
"43","NYIRARUMOGO"," 3"," 959.3258","665.2276"," 461097.0","2278"
"44","NYIRARUMOGO"," 4","1011.1627","823.7794"," 592312.0","2506"
"45","NYIRARUMOGO"," 5","1026.3182","766.8558"," 569750.5","2491"
"46","NYIRARUMOGO"," 6"," 941.8333","681.5346"," 467429.0","2226"
"47","NYIRARUMOGO"," 7"," 954.7565","761.2014"," 521407.0","2402"
"48","NYIRARUMOGO"," 8"," 981.5422","812.6090"," 575366.0","2466"
"49","NYIRARUMOGO"," 9"," 989.0303","801.5093"," 554787.0","2428"
"50","NYIRARUMOGO","10","1008.7542","691.4678"," 496925.0","2364"
"51","Witiki"," 1"," 887.2440","430.2739"," 276920.5","1907"
"52","Witiki"," 2"," 945.0249","421.5423"," 295220.5","2059"
"53","Witiki"," 3"," 921.1802","431.3401"," 291636.0","1976"
"54","Witiki"," 4"," 907.9873","431.2351"," 291680.0","1986"
"55","Witiki"," 5"," 925.7456","431.9783"," 290648.0","2024"
"56","Witiki"," 6"," 892.9647","417.9448"," 265149.0","1904"
"57","Witiki"," 7"," 830.8887","415.8656"," 245498.0","1796"
"58","Witiki"," 8"," 858.3432","390.7004"," 235841.5","1839"
"59","Witiki"," 9"," 895.5161","417.2209"," 270598.0","1906"
"60","Witiki","10"," 975.9877","453.5160"," 331338.0","2128"
"61","HONGKER"," 1"," 856.9463","508.7133"," 343815.5","2041"
"62","HONGKER"," 2"," 959.4676","557.4237"," 402859.5","2207"
"63","HONGKER"," 3"," 976.5347","574.8019"," 427891.0","2252"
"64","HONGKER"," 4"," 847.2745","472.5789"," 315918.0","1976"
"65","HONGKER"," 5"," 945.7447","530.8906"," 379117.0","2156"
"66","HONGKER"," 6"," 908.1525","506.4524"," 356039.5","2089"
"67","HONGKER"," 7"," 890.0994","455.4222"," 314850.0","2010"
"68","HONGKER"," 8"," 909.5565","534.0999"," 379192.0","2144"
"69","HONGKER"," 9"," 768.8381","454.2257"," 267462.0","1794"
"70","HONGKER","10"," 858.7974","484.0862"," 336032.0","2036"
"71","RAHMETALLA GALLABAT"," 1","1101.5357","796.0132"," 619590.0","2558"
"72","RAHMETALLA GALLABAT"," 2","1098.2204","716.8925"," 562964.0","2554"
"73","RAHMETALLA GALLABAT"," 3"," 972.2968","718.0308"," 507098.5","2405"
"74","RAHMETALLA GALLABAT"," 4"," 939.1826","766.9776"," 530975.0","2537"
"75","RAHMETALLA GALLABAT"," 5","1073.3126","792.4625"," 597918.0","2665"
"76","RAHMETALLA GALLABAT"," 6"," 959.9708","621.7606"," 461643.5","2337"
"77","RAHMETALLA GALLABAT"," 7"," 957.3066","595.1740"," 413341.5","2219"
"78","RAHMETALLA GALLABAT"," 8","1032.3260","625.6773"," 469232.0","2412"
"79","RAHMETALLA GALLABAT"," 9"," 992.9597","727.6982"," 566951.0","2488"
"80","RAHMETALLA GALLABAT","10"," 957.2257","774.2218"," 561932.0","2422"
"81","65I 2786"," 1","1030.5591","724.5562"," 552400.0","2510"
"82","65I 2786"," 2","1032.6984","645.8275"," 483761.5","2387"
"83","65I 2786"," 3","1092.1035","823.0603"," 644981.5","2687"
"84","65I 2786"," 4","1113.3104","782.1467"," 647939.0","2644"
"85","65I 2786"," 5","1163.9798","836.3650"," 707946.5","2795"
"86","65I 2786"," 6","1034.4564","768.4210"," 582391.5","2503"
"87","65I 2786"," 7","1039.2598","620.4329"," 445917.5","2383"
"88","65I 2786"," 8","1036.2287","736.8585"," 545515.0","2540"
"89","65I 2786"," 9","1036.0931","727.2503"," 551887.0","2434"
"90","65I 2786","10","1022.0690","773.6513"," 565824.5","2509"
"91","IS 24957"," 1","1121.2729","545.3793"," 449015.5","2455"
"92","IS 24957"," 2","1210.3429","594.9768"," 516406.5","2637"
"93","IS 24957"," 3","1191.8309","576.3661"," 490374.0","2520"
"94","IS 24957"," 4","1046.7268","510.5286"," 380757.0","2246"
"95","IS 24957"," 5","1165.6706","590.6180"," 498688.0","2528"
"96","IS 24957"," 6"," 990.3898","510.9624"," 389907.0","2200"
"97","IS 24957"," 7","1130.5242","631.1868"," 544704.5","2589"
"98","IS 24957"," 8","1042.4596","558.7190"," 421721.0","2326"
"99","IS 24957"," 9","1163.1767","642.1759"," 535932.5","2577"
"100","IS 24957","10","1116.7618","572.0530"," 445856.5","2353"
"101","LR 399"," 1","1075.0972","611.2219"," 455051.5","2411"
"102","LR 399"," 2","1164.5566","601.4238"," 510773.0","2586"
"103","LR 399"," 3","1068.4465","628.2823"," 469082.0","2366"
"104","LR 399"," 4","1082.4218","624.5828"," 465351.5","2447"
"105","LR 399"," 5","1103.9860","585.2303"," 461294.0","2484"
"106","LR 399"," 6","1126.1692","618.3174"," 498624.0","2498"
"107","LR 399"," 7","1084.1716","592.1480"," 449158.0","2412"
"108","LR 399"," 8","1186.4792","673.4404"," 551979.5","2661"
"109","LR 399"," 9","1100.2841","599.9024"," 487210.5","2491"
"110","LR 399","10"," 830.4433","638.0568"," 373125.0","1982"
"111","IS 8267"," 1","1034.4801","641.5909"," 511840.0","2468"
"112","IS 8267"," 2"," 959.7526","607.6775"," 424978.5","2305"
"113","IS 8267"," 3"," 960.1276","659.2957"," 460428.0","2258"
"114","IS 8267"," 4","1015.2133","617.0103"," 473670.5","2399"
"115","IS 8267"," 5","1027.0759","622.8536"," 496510.5","2495"
"116","IS 8267"," 6","1055.3867","589.5119"," 470081.0","2440"
"117","IS 8267"," 7","1056.0402","625.8587"," 503443.0","2470"
"118","IS 8267"," 8","1042.3382","612.1564"," 492769.5","2463"
"119","IS 8267"," 9","1055.4340","638.3165"," 493870.0","2438"
"120","IS 8267","10","1099.8077","634.6418"," 526740.0","2538"
"121","B.Tx2921"," 1","1142.8149","712.3568"," 605766.5","2615"
"122","B.Tx2921"," 2","1141.4802","680.9352"," 558291.5","2517"
